,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1
0,"Imagine you are Joceline’s parent, you’ll definitely wish Joceline to get treatments, you wish someone can help you, someone can donate to you. Pray for Joceline will get better.",MYR,50000,178.0,29.0,"['imagine', 'you', 'are', 'joceline', 's', 'parent', 'you', 'll', 'definitely', 'wish', 'joceline', 'to', 'get', 'treatments', 'you', 'wish', 'someone', 'can', 'help', 'you', 'someone', 'can', 'donate', 'to', 'you', 'pray', 'for', 'joceline', 'will', 'get', 'better']","['imagine', 'you', 'are', 'joceline', 's', 'parent', 'you', 'll', 'definitely', 'wish', 'joceline', 'to', 'get', 'treatment', 'you', 'wish', 'someone', 'can', 'help', 'you', 'someone', 'can', 'donate', 'to', 'you', 'pray', 'for', 'joceline', 'will', 'get', 'better']","['imagin', 'you', 'are', 'jocelin', 's', 'parent', 'you', 'll', 'definit', 'wish', 'jocelin', 'to', 'get', 'treatment', 'you', 'wish', 'someon', 'can', 'help', 'you', 'someon', 'can', 'donat', 'to', 'you', 'pray', 'for', 'jocelin', 'will', 'get', 'better']",imagine you are joceline s parent you ll definitely wish joceline to get treatment you wish someone can help you someone can donate to you pray for joceline will get better,imagin you are jocelin s parent you ll definit wish jocelin to get treatment you wish someon can help you someon can donat to you pray for jocelin will get better,0,0.18435206058671713,0.05922915084775237,1,1.202714370518594,0.32950564236182506
1,"My prayers will always be with you sayang ❤.. stay strong, Get well soon..",SGD,2000,74.0,14.0,"['my', 'prayers', 'will', 'always', 'be', 'with', 'you', 'sayang', 'stay', 'strong', 'get', 'well', 'soon']","['my', 'prayer', 'will', 'always', 'be', 'with', 'you', 'sayang', 'stay', 'strong', 'get', 'well', 'soon']","['my', 'prayer', 'will', 'alway', 'be', 'with', 'you', 'sayang', 'stay', 'strong', 'get', 'well', 'soon']",my prayer will always be with you sayang stay strong get well soon,my prayer will alway be with you sayang stay strong get well soon,1,0.48475552554938584,-0.006699121736230284,1,1.889704463819941,0.2071668892651843
7,"My prayers will always be with you. Stay strong, Get Well Soon ❤",SGD,2000,64.0,13.0,"['my', 'prayers', 'will', 'always', 'be', 'with', 'you', 'stay', 'strong', 'get', 'well', 'soon']","['my', 'prayer', 'will', 'always', 'be', 'with', 'you', 'stay', 'strong', 'get', 'well', 'soon']","['my', 'prayer', 'will', 'alway', 'be', 'with', 'you', 'stay', 'strong', 'get', 'well', 'soon']",my prayer will always be with you stay strong get well soon,my prayer will alway be with you stay strong get well soon,1,0.4847555255493859,-0.006699121736231136,1,1.8897044638199396,0.20716688926518675
42,"A lack of generosity refuses to acknowledge that your assets are not really yours, but God's.  ~~ Tim Keller 

Just my bit. Get well soon brother",SGD,10000,145.0,27.0,"['a', 'lack', 'of', 'generosity', 'refuses', 'to', 'acknowledge', 'that', 'your', 'assets', 'are', 'not', 'really', 'yours', 'but', 'god', 's', 'tim', 'keller', 'just', 'my', 'bit', 'get', 'well', 'soon', 'brother']","['a', 'lack', 'of', 'generosity', 'refuse', 'to', 'acknowledge', 'that', 'your', 'asset', 'are', 'not', 'really', 'yours', 'but', 'god', 's', 'tim', 'keller', 'just', 'my', 'bit', 'get', 'well', 'soon', 'brother']","['a', 'lack', 'of', 'generos', 'refus', 'to', 'acknowledg', 'that', 'your', 'asset', 'are', 'not', 'realli', 'your', 'but', 'god', 's', 'tim', 'keller', 'just', 'my', 'bit', 'get', 'well', 'soon', 'brother']",a lack of generosity refuse to acknowledge that your asset are not really yours but god s tim keller just my bit get well soon brother,a lack of generos refus to acknowledg that your asset are not realli your but god s tim keller just my bit get well soon brother,1,0.6356509550578628,0.015500035345036342,1,1.4821548568354943,0.29525599024252663
58,Be strong! Get well soon,SGD,10000,24.0,5.0,"['be', 'strong', 'get', 'well', 'soon']","['be', 'strong', 'get', 'well', 'soon']","['be', 'strong', 'get', 'well', 'soon']",be strong get well soon,be strong get well soon,1,0.7966806182486024,0.006348671168659448,1,1.6607034140775219,0.05042217924173947
61,I hope she'll get well soon ♡,MYR,1000,29.0,7.0,"['i', 'hope', 'she', 'll', 'get', 'well', 'soon']","['i', 'hope', 'she', 'll', 'get', 'well', 'soon']","['i', 'hope', 'she', 'll', 'get', 'well', 'soon']",i hope she ll get well soon,i hope she ll get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
75,"I am saddened to see a young boy like Manidhar suffer from blood cancer. I hope that with the little token - he can be given a new hope, an opportunity to get the treatment he needs to recover. I say ""Stay strong and get well soon!!""",SGD,5000,233.0,47.0,"['i', 'am', 'saddened', 'to', 'see', 'a', 'young', 'boy', 'like', 'manidhar', 'suffer', 'from', 'blood', 'cancer', 'i', 'hope', 'that', 'with', 'the', 'little', 'token', 'he', 'can', 'be', 'given', 'a', 'new', 'hope', 'an', 'opportunity', 'to', 'get', 'the', 'treatment', 'he', 'needs', 'to', 'recover', 'i', 'say', 'stay', 'strong', 'and', 'get', 'well', 'soon']","['i', 'am', 'saddened', 'to', 'see', 'a', 'young', 'boy', 'like', 'manidhar', 'suffer', 'from', 'blood', 'cancer', 'i', 'hope', 'that', 'with', 'the', 'little', 'token', 'he', 'can', 'be', 'given', 'a', 'new', 'hope', 'an', 'opportunity', 'to', 'get', 'the', 'treatment', 'he', 'need', 'to', 'recover', 'i', 'say', 'stay', 'strong', 'and', 'get', 'well', 'soon']","['i', 'am', 'sadden', 'to', 'see', 'a', 'young', 'boy', 'like', 'manidhar', 'suffer', 'from', 'blood', 'cancer', 'i', 'hope', 'that', 'with', 'the', 'littl', 'token', 'he', 'can', 'be', 'given', 'a', 'new', 'hope', 'an', 'opportun', 'to', 'get', 'the', 'treatment', 'he', 'need', 'to', 'recov', 'i', 'say', 'stay', 'strong', 'and', 'get', 'well', 'soon']",i am saddened to see a young boy like manidhar suffer from blood cancer i hope that with the little token he can be given a new hope an opportunity to get the treatment he need to recover i say stay strong and get well soon,i am sadden to see a young boy like manidhar suffer from blood cancer i hope that with the littl token he can be given a new hope an opportun to get the treatment he need to recov i say stay strong and get well soon,1,0.3501816051863439,-0.027638882908790838,1,2.6707348236735386,0.46561939609783864
86,Get well soon...,SGD,5000,16.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
103,Get well soon,MYR,30000,13.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
116,"Please get well soon, bro",SGD,5000,25.0,5.0,"['please', 'get', 'well', 'soon', 'bro']","['please', 'get', 'well', 'soon', 'bro']","['pleas', 'get', 'well', 'soon', 'bro']",please get well soon bro,pleas get well soon bro,1,0.7389950989677478,-0.015002933307737264,1,1.5387946608333307,-0.03559611493419706
